iter	RMSE
0	2.468012208
1	2.263675975
2	2.07467473
3	1.910587562
4	1.76234701
5	1.634673395
6	1.522260245
7	1.420315506
8	1.329241708
9	1.251180231
10	1.184796049
11	1.124387702
12	1.071502036
13	1.024816441
14	0.9835620108
15	0.9499745149
16	0.920478652
17	0.8952470285
18	0.8730477503
19	0.8543829247
20	0.8374215927
21	0.8230032546
22	0.8112691401
23	0.801196163
24	0.7917170324
25	0.7845799674
26	0.7779977597
27	0.7722836439
28	0.767138178
29	0.7625255728
30	0.7590504922
31	0.7556017536
32	0.7527209762
33	0.7489817374
34	0.7463419965
35	0.7439733373
36	0.7419412961
37	0.7394754928
38	0.73770134
39	0.7358439848
40	0.7337132726
41	0.7314218159
42	0.7300829266
43	0.7280907918
44	0.726964065
45	0.7253798387
46	0.7230651277
47	0.7219902934
48	0.7205727796
49	0.719636755
50	0.7190168222
51	0.7182912223
52	0.7167048389
53	0.7155516123
54	0.7150302198
55	0.7143296472
56	0.7133083259
57	0.7125624529
58	0.7114566693
59	0.7105883407
60	0.7099249621
61	0.7085582049
62	0.7076341956
63	0.7069668472
64	0.7058989731
65	0.7052586974
66	0.7046805066
67	0.7043845401
68	0.7036173714
69	0.7031886671
70	0.701948082
71	0.701466227
72	0.7006267691
73	0.6999484732
74	0.6995752532
75	0.6987439801
76	0.6984987522
77	0.6979383252
78	0.6969394018
79	0.6965821949
80	0.6960199466
81	0.6954608066
82	0.6946919455
83	0.693583931
84	0.6925689617
85	0.6921354855
86	0.6917089701
87	0.6911656626
88	0.6903526215
89	0.6898746353
90	0.6891727432
91	0.6884486606
92	0.6873897508
93	0.6863034259
94	0.6851527133
95	0.6846202652
96	0.6839196739
97	0.6832304053
98	0.6828176486
99	0.6821069507
