iter	Passed	Remaining
0	2	198
1	3	183
2	5	173
3	6	163
4	8	158
5	10	166
6	12	167
7	14	168
8	16	170
9	19	172
10	21	173
11	23	174
12	26	177
13	29	182
14	31	180
15	34	179
16	36	179
17	39	178
18	41	176
19	43	174
20	45	171
21	47	169
22	50	168
23	52	167
24	55	165
25	57	164
26	59	162
27	62	160
28	64	157
29	66	155
30	68	153
31	71	151
32	73	149
33	75	146
34	77	144
35	80	142
36	82	140
37	84	137
38	86	135
39	89	133
40	91	131
41	93	129
42	96	127
43	98	125
44	100	123
45	103	121
46	105	118
47	107	116
48	109	114
49	112	112
50	114	109
51	116	107
52	118	105
53	120	103
54	123	100
55	125	98
56	127	96
57	130	94
58	132	92
59	134	89
60	136	87
61	139	85
62	141	82
63	143	80
64	145	78
65	147	76
66	150	74
67	152	71
68	155	69
69	157	67
70	159	65
71	161	62
72	163	60
73	165	58
74	168	56
75	170	53
76	172	51
77	175	49
78	177	47
79	179	44
80	181	42
81	184	40
82	186	38
83	188	35
84	190	33
85	193	31
86	195	29
87	197	26
88	199	24
89	201	22
90	204	20
91	206	17
92	208	15
93	210	13
94	213	11
95	215	8
96	217	6
97	219	4
98	221	2
99	224	0
